doc_name,date,auteur,titre,canon,gender,naissance,mort,genre
1903_Chabrier-Rieder-Charlotte_Les-Enfants-du-Luxembourg,1903,chabrier rieder charlotte,les enfants du luxembourg,non_canon,female,1865,1935,littérature jeunesse
1983_Echenoz-Jean_Cherokee,1983,echenoz jean,cherokee,canon,male,1947,20--,policier
1995_Millet-Richard_La-gloire-des-pythre,1995,millet richard,la gloire des pythre,canon,male,1953,20--,
1921_Leblanc-Maurice_Le-Formidable-Evenement,1921,leblanc maurice,le formidable evenement,non_canon,male,1864,1941,science-fiction
1981_Delly_Ma-robe-couleur-du-temps,1981,delly,ma robe couleur du temps,non_canon,female,1875,1947,roman sentimental
1875_Sand-George_Marianne,1875,sand george,marianne,canon,female,1804,1876,
1882_Hericault-Charles-d-_Les-Bourgeois-de-93,1882,hericault charles d ,les bourgeois de 93,non_canon,male,1882,1882,roman historique
1874_Achard-Amedee_Envers-et-contre-tous,1874,achard amedee,envers et contre tous,non_canon,male,1814,1875,roman d'aventures
1868_Zola-Emile_Therese-Raquin,1868,zola emile,therese raquin,canon,male,1840,1902,
1909_La-Brete-Jean-de_Aimer-quand-meme,1909,la brete jean de,aimer quand meme,non_canon,female,1858,1945,
1938_Simenon-Georges_L-Improbable-Monsieur-Owen,1938,simenon georges,l improbable monsieur owen,canon,male,1903,1989,policier
1966_Delly_Une-mesalliance,1966,delly,une mesalliance,non_canon,female,1875,1947,roman sentimental
1878_Houssaye-Arsene_Les-Trois-duchesses_Volume-4,1878,houssaye arsene,les trois duchesses,non_canon,male,1814,1896,cycles et séries
1968_Guy-Des-Cars_La-revoltee,1968,guy des cars,la revoltee,non_canon,male,1977,1911,policier
1844_Balzac-Honore-de_Pierre-Grassou,1844,balzac honore de,pierre grassou,canon,male,1799,1850,cycles et séries
1967_San-Antonio_Beru-contre-San-Antonio,1967,san antonio,beru contre san antonio,non_canon,male,1921,2000,érotisme
1908_Rolland-Romain_Jean-Christophe_Tome-V-La-foire-sur-la-place,1908,rolland romain,jean christophe,canon,male,1866,1944,cycles et séries
1981_Delly_L'heritage-de-Cendrillon,1981,delly,l'heritage de cendrillon,non_canon,female,1875,1947,roman sentimental
2012_Jouet-Jacques_La-seule-fois-de-l-amour,2012,jouet jacques,la seule fois de l amour,non_canon,male,1947,20--,
1972_San-Antonio_Emballage-cadeau,1972,san antonio,emballage cadeau,non_canon,male,1921,2000,érotisme
1888_Greville-Henry_La-seconde-mere,1888,greville henry,la seconde mere,non_canon,female,1842,1902,
1853_Du-Camp-Maxime_Memoires-d'un-suicide,1853,du camp maxime,memoires d'un suicide,non_canon,male,1822,1894,
1964_Simenon-Georges_Maigret-et-le-fantome,1964,simenon georges,maigret et le fantome,canon,male,1903,1989,policier
1864_Goncourt-Edmond-et-Jules-de_Germinie-Lacerteux,1864,goncourt edmond et jules de,germinie lacerteux,canon,male,1822,1896,
1960_Delly_Les-deux-fraternites,1960,delly,les deux fraternites,non_canon,female,1875,1947,roman sentimental
1953_San-Antonio_Des-dragees-sans-bapteme,1953,san antonio,des dragees sans bapteme,non_canon,male,1921,2000,érotisme
2002_Vargas-Fred_Coule-la-Seine,2002,vargas fred,coule la seine,non_canon,female,1957,20--,policier
1971_Simenon-Georges_Maigret-et-l-homme-tout-seul,1971,simenon georges,maigret et l homme tout seul,canon,male,1903,1989,policier
1932_Simenon-Georges_Chez-les-Flamands,1932,simenon georges,chez les flamands,canon,male,1903,1989,policier
1886_Valles-Jules_L-Insurge,1886,valles jules,l insurge,canon,male,1832,1885,mémoires et autobiographie
2013_Zeniter-Alice_Sombre-dimanche,2013,zeniter alice,sombre dimanche,non_canon,female,1986,unknown,roman historique
1833_Sand-George_Metella,1833,sand george,metella,canon,female,1804,1876,
2013_Musso-Guillaume_Demain,2013,musso guillaume,demain,non_canon,male,1974,20--,
1842_Hugo-Victor_Le-Rhin_Tome-III,1842,hugo victor,le rhin,canon,male,1802,1885,épistolaire
1838_Corbiere-Edouard_Les-Trois-Pirates,1838,corbiere edouard,les trois pirates,non_canon,male,1793,1875,roman d'aventures
1864_Sand-George_Laura,1864,sand george,laura,canon,female,1804,1876,fantastique
1863_Fromentin-Eugene_Dominique,1863,fromentin eugene,dominique,canon,male,1820,1876,
1851_Goncourt-Edmond-de-Goncourt-Jules-de_En-18,1851,goncourt edmond de goncourt jules de,en 18,canon,male,1822,19896,
1904_Loti-Pierre_Vers-Ispahan,1904,loti pierre,vers ispahan,canon,male,1850,1923,récit de voyage
1878_Gaboriau-Emile_Le-capitaine-Coutanceau,1878,gaboriau emile,le capitaine coutanceau,non_canon,male,1832,1873,roman d'aventures
1865_Chevalier-H-Emile_L-enfer-et-le-paradis-de-l-autre-monde,1865,chevalier h emile,l enfer et le paradis de l autre monde,non_canon,male,1828,1879,
1883_David-Laurent-Olivier_Le-Heros-de-Chateauguay,1883,david laurent olivier,le heros de chateauguay,non_canon,male,1883,1883,roman d'aventures
1887_Malot-Hector_Ghislaine,1887,malot hector,ghislaine,non_canon,male,1830,1907,
1873_Daudet-Alphonse_Le-Cabecilla,1873,daudet alphonse,le cabecilla,canon,male,1840,1897,nouvelles
